Destination ID,Country,apiSku,Product SKU,Plan Name,Data Allowanance,Validity Days,VOICE MIN,DATA,SMS,VALIDITY,BaseCost,markup,finalPrice,currency,Note / QR Code Expiry,status
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT3GB-03,eSIM-XMTYT3GB-03,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 3GB)",3GB Total with high speed + FUP 128 Kbps,3 days,N/A,3GB Total with high speed + FUP 128 Kbps,N/A,3 days,1.31,1.31,2.62,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT3GB-05,eSIM-XMTYT3GB-05,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 3GB)",3GB Total with high speed + FUP 128 Kbps,5 days,N/A,3GB Total with high speed + FUP 128 Kbps,N/A,5 days,1.44,1.44,2.88,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT3GB-07,eSIM-XMTYT3GB-07,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 3GB)",3GB Total with high speed + FUP 128 Kbps,7 days,N/A,3GB Total with high speed + FUP 128 Kbps,N/A,7 days,1.58,1.58,3.16,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT3GB-10,eSIM-XMTYT3GB-10,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 3GB)",3GB Total with high speed + FUP 128 Kbps,10 days,N/A,3GB Total with high speed + FUP 128 Kbps,N/A,10 days,1.7,1.7,3.4,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT3GB-15,eSIM-XMTYT3GB-15,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 3GB)",3GB Total with high speed + FUP 128 Kbps,15 days,N/A,3GB Total with high speed + FUP 128 Kbps,N/A,15 days,1.84,1.84,3.68,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT3GB-30,eSIM-XMTYT3GB-30,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 3GB)",3GB Total with high speed + FUP 128 Kbps,30 days,N/A,3GB Total with high speed + FUP 128 Kbps,N/A,30 days,1.97,1.97,3.94,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT5GB-03,eSIM-XMTYT5GB-03,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,3 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,3 days,2.09,2.09,4.18,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT5GB-05,eSIM-XMTYT5GB-05,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,5 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,5 days,2.22,2.22,4.44,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT5GB-07,eSIM-XMTYT5GB-07,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,7 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,7 days,2.35,2.35,4.7,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT5GB-10,eSIM-XMTYT5GB-10,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,10 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,10 days,2.46,2.46,4.92,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT5GB-15,eSIM-XMTYT5GB-15,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,15 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,15 days,2.59,2.59,5.18,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT5GB-30,eSIM-XMTYT5GB-30,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 5GB)",5GB Total with high speed + FUP 128 Kbps,30 days,N/A,5GB Total with high speed + FUP 128 Kbps,N/A,30 days,2.71,2.71,5.42,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT10GB-03,eSIM-XMTYT10GB-03,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 10GB)",10GB Total with high speed + FUP 128 Kbps,3 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,3 days,3.21,3.21,6.42,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT10GB-05,eSIM-XMTYT10GB-05,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 10GB)",10GB Total with high speed + FUP 128 Kbps,5 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,5 days,3.46,3.46,6.92,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT10GB-07,eSIM-XMTYT10GB-07,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 10GB)",10GB Total with high speed + FUP 128 Kbps,7 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,7 days,3.7,3.7,7.4,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT10GB-10,eSIM-XMTYT10GB-10,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 10GB)",10GB Total with high speed + FUP 128 Kbps,10 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,10 days,3.96,3.96,7.92,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT10GB-15,eSIM-XMTYT10GB-15,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 10GB)",10GB Total with high speed + FUP 128 Kbps,15 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,15 days,4.2,4.2,8.4,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT10GB-30,eSIM-XMTYT10GB-30,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 10GB)",10GB Total with high speed + FUP 128 Kbps,30 days,N/A,10GB Total with high speed + FUP 128 Kbps,N/A,30 days,4.45,4.45,8.9,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT20GB-03,eSIM-XMTYT20GB-03,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,3 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,3 days,6.18,6.18,12.36,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT20GB-05,eSIM-XMTYT20GB-05,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,5 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,5 days,6.55,6.55,13.1,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT20GB-07,eSIM-XMTYT20GB-07,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,7 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,7 days,6.92,6.92,13.84,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT20GB-10,eSIM-XMTYT20GB-10,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,10 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,10 days,7.29,7.29,14.58,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT20GB-15,eSIM-XMTYT20GB-15,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,15 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,15 days,7.66,7.66,15.32,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT20GB-30,eSIM-XMTYT20GB-30,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 20GB)",20GB Total with high speed + FUP 128 Kbps,30 days,N/A,20GB Total with high speed + FUP 128 Kbps,N/A,30 days,8.04,8.04,16.08,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT30GB-03,eSIM-XMTYT30GB-03,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 30GB)",30GB Total with high speed + FUP 128 Kbps,3 days,N/A,30GB Total with high speed + FUP 128 Kbps,N/A,3 days,8.53,8.53,17.06,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT30GB-05,eSIM-XMTYT30GB-05,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 30GB)",30GB Total with high speed + FUP 128 Kbps,5 days,N/A,30GB Total with high speed + FUP 128 Kbps,N/A,5 days,9.03,9.03,18.06,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT30GB-07,eSIM-XMTYT30GB-07,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 30GB)",30GB Total with high speed + FUP 128 Kbps,7 days,N/A,30GB Total with high speed + FUP 128 Kbps,N/A,7 days,9.52,9.52,19.04,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT30GB-10,eSIM-XMTYT30GB-10,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 30GB)",30GB Total with high speed + FUP 128 Kbps,10 days,N/A,30GB Total with high speed + FUP 128 Kbps,N/A,10 days,10.02,10.02,20.04,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT30GB-15,eSIM-XMTYT30GB-15,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 30GB)",30GB Total with high speed + FUP 128 Kbps,15 days,N/A,30GB Total with high speed + FUP 128 Kbps,N/A,15 days,10.51,10.51,21.02,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT30GB-30,eSIM-XMTYT30GB-30,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 30GB)",30GB Total with high speed + FUP 128 Kbps,30 days,N/A,30GB Total with high speed + FUP 128 Kbps,N/A,30 days,11.01,11.01,22.02,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT50GB-03,eSIM-XMTYT50GB-03,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 50GB)",50GB Total with high speed + FUP 128 Kbps,3 days,N/A,50GB Total with high speed + FUP 128 Kbps,N/A,3 days,12.74,12.74,25.48,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT50GB-05,eSIM-XMTYT50GB-05,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 50GB)",50GB Total with high speed + FUP 128 Kbps,5 days,N/A,50GB Total with high speed + FUP 128 Kbps,N/A,5 days,13.6,13.6,27.2,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT50GB-07,eSIM-XMTYT50GB-07,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 50GB)",50GB Total with high speed + FUP 128 Kbps,7 days,N/A,50GB Total with high speed + FUP 128 Kbps,N/A,7 days,14.47,14.47,28.94,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT50GB-10,eSIM-XMTYT50GB-10,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 50GB)",50GB Total with high speed + FUP 128 Kbps,10 days,N/A,50GB Total with high speed + FUP 128 Kbps,N/A,10 days,15.33,15.33,30.66,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT50GB-15,eSIM-XMTYT50GB-15,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 50GB)",50GB Total with high speed + FUP 128 Kbps,15 days,N/A,50GB Total with high speed + FUP 128 Kbps,N/A,15 days,16.2,16.2,32.4,GBP,QR Code Expiry: 180 days,active
,Singapore?Singtel??Malaysia?Maxis??Indonesia?Telkomsel??Thailand?Ais?,eSIM-XMTYT50GB-30,eSIM-XMTYT50GB-30,"Holiday eSIM 2
SGP, MYS, IDN, THA
 (Total 50GB)",50GB Total with high speed + FUP 128 Kbps,30 days,N/A,50GB Total with high speed + FUP 128 Kbps,N/A,30 days,17.07,17.07,34.14,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM500M-03,eSIM-SM500M-03,"Holiday eSIM 2
SGP, MYS
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,3 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,3 days,0.92,0.92,1.84,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM500M-05,eSIM-SM500M-05,"Holiday eSIM 2
SGP, MYS
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,5 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,5 days,1.31,1.31,2.62,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM500M-07,eSIM-SM500M-07,"Holiday eSIM 2
SGP, MYS
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,7 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,7 days,1.7,1.7,3.4,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM500M-10,eSIM-SM500M-10,"Holiday eSIM 2
SGP, MYS
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,10 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,10 days,2.35,2.35,4.7,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM500M-15,eSIM-SM500M-15,"Holiday eSIM 2
SGP, MYS
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,15 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,15 days,3.33,3.33,6.66,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM500M-20,eSIM-SM500M-20,"Holiday eSIM 2
SGP, MYS
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,20 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,20 days,4.2,4.2,8.4,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM500M-30,eSIM-SM500M-30,"Holiday eSIM 2
SGP, MYS
 (Daily 500MB)",500MB Daily with high speed + FUP 128 Kbps,30 days,N/A,500MB Daily with high speed + FUP 128 Kbps,N/A,30 days,6.18,6.18,12.36,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM1G-03,eSIM-SM1G-03,"Holiday eSIM 2
SGP, MYS
 (Daily 1GB)",1GB Daily with high speed + FUP 128 Kbps,3 days,N/A,1GB Daily with high speed + FUP 128 Kbps,N/A,3 days,1.05,1.05,2.1,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM1G-05,eSIM-SM1G-05,"Holiday eSIM 2
SGP, MYS
 (Daily 1GB)",1GB Daily with high speed + FUP 128 Kbps,5 days,N/A,1GB Daily with high speed + FUP 128 Kbps,N/A,5 days,1.7,1.7,3.4,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM1G-07,eSIM-SM1G-07,"Holiday eSIM 2
SGP, MYS
 (Daily 1GB)",1GB Daily with high speed + FUP 128 Kbps,7 days,N/A,1GB Daily with high speed + FUP 128 Kbps,N/A,7 days,2.22,2.22,4.44,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM1G-10,eSIM-SM1G-10,"Holiday eSIM 2
SGP, MYS
 (Daily 1GB)",1GB Daily with high speed + FUP 128 Kbps,10 days,N/A,1GB Daily with high speed + FUP 128 Kbps,N/A,10 days,2.96,2.96,5.92,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM1G-15,eSIM-SM1G-15,"Holiday eSIM 2
SGP, MYS
 (Daily 1GB)",1GB Daily with high speed + FUP 128 Kbps,15 days,N/A,1GB Daily with high speed + FUP 128 Kbps,N/A,15 days,4.32,4.32,8.64,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM1G-20,eSIM-SM1G-20,"Holiday eSIM 2
SGP, MYS
 (Daily 1GB)",1GB Daily with high speed + FUP 128 Kbps,20 days,N/A,1GB Daily with high speed + FUP 128 Kbps,N/A,20 days,5.55,5.55,11.1,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM1G-30,eSIM-SM1G-30,"Holiday eSIM 2
SGP, MYS
 (Daily 1GB)",1GB Daily with high speed + FUP 128 Kbps,30 days,N/A,1GB Daily with high speed + FUP 128 Kbps,N/A,30 days,8.15,8.15,16.3,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM2G-03,eSIM-SM2G-03,"Holiday eSIM 2
SGP, MYS
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,3 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,3 days,1.84,1.84,3.68,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM2G-05,eSIM-SM2G-05,"Holiday eSIM 2
SGP, MYS
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,5 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,5 days,2.71,2.71,5.42,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM2G-07,eSIM-SM2G-07,"Holiday eSIM 2
SGP, MYS
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,7 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,7 days,3.7,3.7,7.4,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM2G-10,eSIM-SM2G-10,"Holiday eSIM 2
SGP, MYS
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,10 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,10 days,5.19,5.19,10.38,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM2G-15,eSIM-SM2G-15,"Holiday eSIM 2
SGP, MYS
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,15 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,15 days,7.54,7.54,15.08,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM2G-20,eSIM-SM2G-20,"Holiday eSIM 2
SGP, MYS
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,20 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,20 days,9.89,9.89,19.78,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM2G-30,eSIM-SM2G-30,"Holiday eSIM 2
SGP, MYS
 (Daily 2GB)",2GB Daily with high speed + FUP 128 Kbps,30 days,N/A,2GB Daily with high speed + FUP 128 Kbps,N/A,30 days,14.72,14.72,29.44,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM3G-03,eSIM-SM3G-03,"Holiday eSIM 2
SGP, MYS
 (Daily 3GB)",3GB Daily with high speed + FUP 128 Kbps,3 days,N/A,3GB Daily with high speed + FUP 128 Kbps,N/A,3 days,2.35,2.35,4.7,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM3G-05,eSIM-SM3G-05,"Holiday eSIM 2
SGP, MYS
 (Daily 3GB)",3GB Daily with high speed + FUP 128 Kbps,5 days,N/A,3GB Daily with high speed + FUP 128 Kbps,N/A,5 days,3.21,3.21,6.42,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM3G-07,eSIM-SM3G-07,"Holiday eSIM 2
SGP, MYS
 (Daily 3GB)",3GB Daily with high speed + FUP 128 Kbps,7 days,N/A,3GB Daily with high speed + FUP 128 Kbps,N/A,7 days,4.94,4.94,9.88,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM3G-10,eSIM-SM3G-10,"Holiday eSIM 2
SGP, MYS
 (Daily 3GB)",3GB Daily with high speed + FUP 128 Kbps,10 days,N/A,3GB Daily with high speed + FUP 128 Kbps,N/A,10 days,6.92,6.92,13.84,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM3G-15,eSIM-SM3G-15,"Holiday eSIM 2
SGP, MYS
 (Daily 3GB)",3GB Daily with high speed + FUP 128 Kbps,15 days,N/A,3GB Daily with high speed + FUP 128 Kbps,N/A,15 days,10.14,10.14,20.28,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM3G-20,eSIM-SM3G-20,"Holiday eSIM 2
SGP, MYS
 (Daily 3GB)",3GB Daily with high speed + FUP 128 Kbps,20 days,N/A,3GB Daily with high speed + FUP 128 Kbps,N/A,20 days,13.35,13.35,26.7,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM3G-30,eSIM-SM3G-30,"Holiday eSIM 2
SGP, MYS
 (Daily 3GB)",3GB Daily with high speed + FUP 128 Kbps,30 days,N/A,3GB Daily with high speed + FUP 128 Kbps,N/A,30 days,19.92,19.92,39.84,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SMMAX-01,eSIM-SMMAX-01,"Holiday eSIM 2
SGP, MYS
 (MAX)",1GB Daily with high speed + FUP 5 Mbps,1 days,N/A,1GB Daily with high speed + FUP 5 Mbps,N/A,1 days,1.24,1.24,2.48,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SMMAX-03,eSIM-SMMAX-03,"Holiday eSIM 2
SGP, MYS
 (MAX)",1GB Daily with high speed + FUP 5 Mbps,3 days,N/A,1GB Daily with high speed + FUP 5 Mbps,N/A,3 days,3.21,3.21,6.42,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SMMAX-05,eSIM-SMMAX-05,"Holiday eSIM 2
SGP, MYS
 (MAX)",1GB Daily with high speed + FUP 5 Mbps,5 days,N/A,1GB Daily with high speed + FUP 5 Mbps,N/A,5 days,5.19,5.19,10.38,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SMMAX-07,eSIM-SMMAX-07,"Holiday eSIM 2
SGP, MYS
 (MAX)",1GB Daily with high speed + FUP 5 Mbps,7 days,N/A,1GB Daily with high speed + FUP 5 Mbps,N/A,7 days,7.05,7.05,14.1,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SMMAX-10,eSIM-SMMAX-10,"Holiday eSIM 2
SGP, MYS
 (MAX)",1GB Daily with high speed + FUP 5 Mbps,10 days,N/A,1GB Daily with high speed + FUP 5 Mbps,N/A,10 days,9.89,9.89,19.78,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SMMAX-15,eSIM-SMMAX-15,"Holiday eSIM 2
SGP, MYS
 (MAX)",1GB Daily with high speed + FUP 5 Mbps,15 days,N/A,1GB Daily with high speed + FUP 5 Mbps,N/A,15 days,14.72,14.72,29.44,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SMMAX-20,eSIM-SMMAX-20,"Holiday eSIM 2
SGP, MYS
 (MAX)",1GB Daily with high speed + FUP 5 Mbps,20 days,N/A,1GB Daily with high speed + FUP 5 Mbps,N/A,20 days,19.42,19.42,38.84,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SMMAX-30,eSIM-SMMAX-30,"Holiday eSIM 2
SGP, MYS
 (MAX)",1GB Daily with high speed + FUP 5 Mbps,30 days,N/A,1GB Daily with high speed + FUP 5 Mbps,N/A,30 days,28.95,28.95,57.9,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM10M-01,eSIM-SM10M-01,"Holiday eSIM 2
SGP, MYS
 (10MAX)",1GB Daily with high speed + FUP 10 Mbps,1 days,N/A,1GB Daily with high speed + FUP 10 Mbps,N/A,1 days,1.47,1.47,2.94,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM10M-03,eSIM-SM10M-03,"Holiday eSIM 2
SGP, MYS
 (10MAX)",1GB Daily with high speed + FUP 10 Mbps,3 days,N/A,1GB Daily with high speed + FUP 10 Mbps,N/A,3 days,3.58,3.58,7.16,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM10M-05,eSIM-SM10M-05,"Holiday eSIM 2
SGP, MYS
 (10MAX)",1GB Daily with high speed + FUP 10 Mbps,5 days,N/A,1GB Daily with high speed + FUP 10 Mbps,N/A,5 days,5.81,5.81,11.62,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM10M-07,eSIM-SM10M-07,"Holiday eSIM 2
SGP, MYS
 (10MAX)",1GB Daily with high speed + FUP 10 Mbps,7 days,N/A,1GB Daily with high speed + FUP 10 Mbps,N/A,7 days,7.91,7.91,15.82,GBP,QR Code Expiry: 180 days,active
,"Singapore, Malaysia",eSIM-SM10M-10,eSIM-SM10M-10,"Holiday eSIM 2
SGP, MYS
 (10MAX)",1GB Daily with high speed + FUP 10 Mbps,10 days,N/A,1GB Daily with high speed + FUP 10 Mbps,N/A,10 days,11.25,11.25,22.5,GBP,QR Code Expiry: 180 days,active
